,Cg,Acb,TC,AI,AI-b,AIP,MDThal,DpMe,Au,BLP,BLA,BMA,CA,Cl,PMCo,CPu,PnO,Hipp,Ect,LEnt,Ent,DEn,En,IC,LDThal,CauThal,LS,Mamm,M1,M2,M,SC,MS,DP,MO,VO,PAG,PS,PRh,Pir,PrL,VLThal,RSC,RSC-b,RSA,VMThal,SuC,ot,SN,S2,S1,S1-b,SuM,TeA,Ins,V,V-b,VTA,Cg,Acb,TC,AI,AI-b,AIP,MDThal,DpMe,Au,BLP,BLA,BMA,CA,Cl,PMCo,CPu,PnO,Hipp,Ect,LEnt,Ent,DEn,En,IC,LDThal,CauThal,LS,Mamm,M1,M2,M,SC,MS,DP,MO,VO,PAG,PS,PRh,Pir,PrL,VLThal,RSC,RSC-b,RSA,VMThal,SuC,ot,SN,S2,S1,S1-b,SuM,TeA,Ins,V,V-b,VTA
Ent,0.029756788,0.246008634,0.0,0.016161703,0.020235965,0.039996398,0.000402699,7.72497e-05,0.036450562,0.183805701,0.119702407,0.045363458,0.039642606,0.038041418,0.099202468,0.276339404,2.99038e-06,0.409792581,0.226604884,0.848378269,0.542041548,0.142220505,0.091884266,0.0,0.050014482,0.002361737,0.009786981,0.001361071,0.016394088,0.066565565,0.041479827,1.46718e-05,0.009039538,0.011717347,0.015262813,0.022032651,0.0,0.071816278,0.126902388,0.553823238,0.023036289,0.000299605,0.04045722,0.036530353,0.04045722,0.001530809,0.0,0.08450671,0.000110273,0.010475452,0.005256518,0.028444318,0.000289649,0.172146317,0.004482691,0.063625949,0.056473542,0.0,0.007434662,0.08024293,0.0,0.0,0.000740602,0.00306735,0.000124939,0.0,0.001095506,0.011205061,0.005739065,0.001786106,0.000793044,0.000162259,0.003552893,0.0,0.0,0.060201094,0.012651982,0.13651629,0.126072774,0.006889081,0.004554872,0.0,0.001945015,3.02428e-05,0.003827341,0.0,0.0,0.008096504,0.004048252,0.0,0.008765549,0.0,0.000421321,0.000664195,0.0,0.00736316,0.009966309,0.029686909,0.001218643,0.0,0.00199025,0.00162006,0.00199025,5.79297e-06,6.73039e-05,0.018318789,4.72447e-05,0.0,0.0,0.002083262,0.0,0.005115158,0.0,0.004660358,0.001803382,4.68487e-05
DEn,0.0,0.0,0.020174359,0.0,0.0,0.0,0.015206651,0.011554001,0.0,0.0,0.0,0.131956647,0.008580833,0.0,0.481146777,0.0,0.000714883,0.007613988,0.0,1.502832643,0.869551803,0.27654613,0.138273065,0.011554001,0.0,0.000716032,0.0,0.001334945,0.0,0.0,0.0,0.0,0.006306743,0.0,0.0,0.0,0.024304045,0.006110806,0.0,0.0,0.0,0.001128896,0.008030476,0.005942264,0.008030476,0.002829498,0.0,0.0,0.005193686,0.0,0.016984781,0.000958433,0.000239263,0.0,0.0,0.001723894,0.003356545,0.010938584,0.00233915,0.0,0.00055669,0.0,0.0,0.0,0.006502987,0.0,0.0,0.0,0.0,0.001525325,0.0,0.0,0.003300333,0.0,9.22001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000152557,1.46425e-05,7.91093e-05,0.001245929,0.0,0.0,0.0,4.11848e-05,0.0,0.0,0.0,0.0,0.0,1.30121e-07,0.0,0.0,0.0,0.003241381,0.001708938,0.001139292,0.001708938,0.00030344,0.0,0.0,5.53023e-05,0.0,0.0,0.0,0.000434692,0.0,0.0,0.0,0.0,5.09411e-05
En,0.0,0.0,0.128073724,0.0,0.0,0.0,0.029924294,0.005777001,0.0,0.0,0.0,0.899048233,0.044196702,0.0,2.205412877,0.0,0.000530668,0.068120904,0.0,4.763024965,2.64239137,0.138273065,0.069136532,0.005777001,0.0,0.000448536,0.0,0.000667473,0.0,0.0,0.0,0.000407562,0.013479777,0.0,0.0,0.0,0.012152022,0.003055403,0.026840046,0.0,0.0,0.008182209,0.004015238,0.002971132,0.004015238,0.003132732,0.010315996,0.0,0.002596843,0.0,0.00849239,0.000479217,0.00143406,0.0,0.135199411,0.000861947,0.001678273,0.014648232,0.001169575,0.0,0.000867669,0.0,0.0,0.0,0.004467559,0.006788376,0.0,0.0,0.0,0.000762662,0.0,0.0,0.001650166,0.0,8.69617e-05,0.000400278,0.0,0.0,0.0,0.0,0.0,0.007619072,0.000208184,0.001238135,0.005491199,0.000622964,0.0,0.0,0.0,0.00014729,0.0,0.0,0.0,0.0,0.011095262,8.63393e-05,0.0,0.0,0.0,0.002151122,0.000854469,0.000569646,0.000854469,0.00015172,0.009786944,0.0,0.000332066,0.0,0.0,0.0,0.000217346,0.0,0.0,0.0,4.38348e-05,0.003048223
IC,0.0,0.0,0.032829247,0.001929131,0.001669106,0.0,0.004521786,0.098133204,0.005379157,0.001489512,0.000744756,0.000465314,0.008157598,0.003067979,0.0,0.03854541,0.056243589,0.001538418,0.0,0.0,0.0,0.0,0.0,0.200878177,0.0,0.03329413,0.0,0.000661637,0.0,0.0,0.0,0.006421831,0.0,0.0,0.0,0.0,1.110133617,0.000347567,0.0,0.001027292,0.0,0.005875545,0.0,0.0,0.0,0.009159298,1.132773305,0.047738144,0.052820782,0.002696829,0.002103806,0.000186971,0.000258765,0.000378904,0.000822481,0.007659149,0.000310265,0.014339292,0.0,0.001041223,0.030046589,0.001143291,0.001053195,0.000119655,0.003359032,0.094675476,0.000190916,3.70417e-05,1.85208e-05,0.000515819,0.001434244,0.002837056,4.54094e-06,0.041675367,0.138210578,0.002439113,0.0,0.0,0.0,0.001014512,0.000507256,0.159707878,0.0,0.00766712,0.003951873,0.000346371,0.004774548,0.0,0.002387274,0.003795951,0.0,0.000224953,0.000220737,0.0,0.983015726,0.000121915,0.0,0.000946301,0.000229504,0.006657846,0.0,0.0,0.0,0.001641622,0.57448384,0.014637842,0.019723337,0.001797527,0.001298774,0.000366325,8.99185e-05,0.0,0.000841099,0.0,8.43145e-05,0.020853204
LDThal,0.10009345,0.0,0.00018496,0.0,0.0,0.0,9.77427e-05,0.0,0.0,0.0,0.00449999,0.000506063,0.004291714,0.0,0.000133997,0.55712461,0.0,0.0,0.006340461,0.028167868,0.053761054,0.0,0.000335075,0.000411687,0.006463463,0.001463877,4.07142e-05,0.0,0.188172291,0.167694556,0.177933423,0.000297509,0.0,0.0,0.0,0.0,0.006661211,0.606645279,0.003431344,0.0,0.00176405,0.0,0.595491496,0.473293374,0.595491496,0.024660507,0.000231271,0.0,0.0,0.0,0.0,0.003232105,0.0,0.0,0.0,0.05250012,0.023930637,0.000370966,0.024228698,0.0,0.000233396,0.0,0.0,0.0,1.07026e-05,6.45966e-05,0.000180522,0.0,0.0,0.000363169,0.0,0.0,0.000578221,0.0,0.0,0.0,0.0,0.0,9.49724e-05,0.0,0.0,0.000249333,0.0,0.000168794,0.00023415,0.0,0.0,0.0,0.0,6.40876e-05,0.0,0.0,0.0,0.0,0.005682844,0.000646843,0.0,0.002800699,0.001108316,0.0,0.020964697,0.013976465,0.020964697,0.0,0.00156446,0.0,0.001117819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000124813,6.81703e-06
CauThal,0.015712755,0.0,0.042847348,0.012239174,0.010847125,0.054262546,0.014396107,0.492267735,0.678210803,0.049969804,0.114085019,0.037397954,0.139257046,0.015548863,0.013535538,0.814825369,0.202923724,0.051799704,0.492186982,0.017169627,0.008584813,0.004241041,0.008942331,0.400458021,0.120413366,0.066111049,0.004869009,0.000473931,0.181181662,0.245964323,0.213572993,0.037640986,0.0,0.0,0.00014417,0.000337606,0.548416877,0.001377943,0.054059504,0.044656116,0.010561725,0.024686443,0.012516998,0.011246226,0.012516998,0.10139859,0.854812444,0.016755716,0.010634348,0.233973937,0.092995454,0.188168408,0.003410152,1.148559736,0.086436986,0.477378651,0.36837263,0.085326147,0.005376422,0.0,0.003323796,0.000954208,0.000884925,0.000483228,0.006324532,0.016749058,0.000428002,0.0,2.96735e-06,0.000286032,8.88355e-05,3.26034e-06,0.000493542,0.0,0.001562708,0.036475666,0.001543759,0.001397993,0.001121311,0.000172827,9.21266e-05,0.009979783,0.013368602,0.011737745,0.004428854,0.000360569,0.000976955,0.001825047,0.001401001,0.009009864,0.002658401,1.52197e-05,1.92715e-05,0.0,0.142964319,0.000616885,0.000453544,0.005351133,0.000343105,0.025559844,0.000755375,0.000503584,0.000755375,0.002523068,0.107989358,0.000584298,0.000459589,0.002359982,0.001002897,0.000977565,0.003399781,0.000360878,0.000850628,0.0,4.77526e-05,0.009445258
LS,0.018025723,0.084859968,0.108370231,0.000159021,0.000153774,0.0,0.013208539,0.013136512,1.74971e-05,0.000762422,0.000381211,0.0,0.005338423,0.0,0.0,0.0,0.014532064,0.000694624,0.0,0.0,0.0,0.0,0.0,0.012380614,0.0,2.33294e-05,0.122543069,0.001326414,0.010280211,0.019413063,0.014846637,0.00159374,0.056936551,0.00126966,0.0,0.001575633,0.058641466,0.0,0.000178595,0.01367441,0.00213386,0.015829646,0.001801689,0.001201126,0.001801689,0.003586676,0.002368079,0.003252479,0.0,0.000603289,0.000442885,0.001480204,0.012945264,0.0,0.0,0.00087372,0.000480015,0.050095269,0.0,0.000738023,0.0,0.0,0.0,0.0,0.006965111,0.004761947,1.74355e-05,0.0,0.0,0.0,0.00145973,0.0,0.0,0.0,0.006884543,0.0,0.0,0.0,0.0,0.0,5.49859e-05,0.004714682,0.0,6.24247e-05,0.013570208,0.0,0.0,0.0,0.0,0.000387339,0.057428814,0.0,9.5619e-05,0.0,0.051910554,0.0,0.0,0.00221326,0.0,0.007838858,0.0,0.0,0.0,0.000221643,0.000220088,0.022844858,0.000337024,1.45972e-05,8.68568e-05,0.000619682,0.004980162,0.0,0.0,0.0,0.0,0.01172709
Mamm,0.174154896,0.997962455,0.288386828,0.05152268,0.038103001,0.028276287,0.100937438,0.105186103,0.002542551,0.017254562,0.011561775,0.014221512,0.000736559,0.064931244,0.054932868,0.683287826,0.154094087,0.998542509,0.067961934,0.405358262,0.350446861,0.130763392,0.07336566,0.087329829,0.050596533,0.010289723,0.709302844,0.0,0.096354607,0.224669963,0.160512285,0.026746446,0.572250373,0.023407129,0.012506665,0.048851728,0.625954806,0.062658435,0.03055411,0.155843036,0.04343194,0.127190551,0.064555403,0.047250292,0.064555403,0.035515613,0.012699524,0.049159962,0.0,0.0,0.002397809,0.007760044,0.0,0.016602174,0.0,0.019166871,0.013847956,0.0,0.023807908,0.0,0.053904545,0.004626628,0.001606903,0.00346247,0.045775108,0.007961155,0.000283353,0.0,0.0,0.007393565,0.0,0.004120019,0.035331942,0.0,0.026198732,0.515690201,0.0,0.031820653,0.029884499,0.0,0.0,0.003246864,0.010188788,0.000915859,0.157421399,0.005318618,0.0,0.0,0.0,0.006502002,0.449547687,0.0,0.0,0.0,0.276170468,0.029298877,0.0,0.0,0.0,0.035191995,0.048946674,0.032941332,0.048946674,0.00067608,0.005617471,0.0,0.0,0.0,9.82687e-05,0.000106973,0.00409588,0.002605627,0.0,0.000916107,0.000934511,0.029656902
M1,0.003078483,0.023790047,0.004993516,0.110828649,0.111980259,0.006348395,0.013054583,0.166109576,0.00184724,0.00063027,0.000315135,0.0,0.014773961,0.042347425,0.0,2.979688913,0.028227791,0.000311498,0.004487507,0.0,0.0,0.007812731,0.004383726,0.158143815,0.004600244,0.008831098,0.001191001,0.0,0.700050385,0.287701548,0.493875967,0.002039835,0.0,0.002849762,0.0,0.002246474,0.036458465,0.0,0.0,0.0,0.0,0.001890543,0.0,0.0,0.0,0.103853135,0.101495551,0.041996685,0.095249163,0.490743762,0.408554973,0.118913879,0.0,0.008109486,0.105516882,0.000318456,0.0,0.031604228,0.001075968,0.013874926,8.80219e-05,0.009079535,0.050920109,0.00886303,0.011857174,0.018426424,0.005874362,0.002778701,0.001639363,3.02617e-05,0.007396606,0.047539812,0.0,2.288189483,0.01254229,0.00015428,0.010853554,0.0,3.36766e-05,0.012548078,0.006623218,0.017971523,0.0,0.002021292,0.002563829,0.0,1.270528277,0.113509838,0.692019058,5.72367e-05,0.0,0.0,0.0,0.0,0.022793144,0.000113791,0.004215971,0.0,0.0,0.001630308,0.001468544,0.000979029,0.001468544,0.023033419,0.012522021,0.00577322,0.003173982,0.269586929,0.233005462,0.080424377,0.0,0.013426691,0.06992871,0.00020053,4.02665e-05,0.00266191
M2,0.043858083,0.11352735,0.013482564,0.025208744,0.020826964,0.0,0.030532065,0.130662078,0.058367377,0.013509301,0.007497195,1.12796e-05,0.001867735,0.051588346,0.0,2.054376149,0.050373733,0.000382075,0.065530258,0.051188942,0.025714581,0.026384177,0.013501033,0.113255898,0.0,0.015276494,0.003264057,0.000110213,0.71546543,0.766859198,0.741162314,0.002399167,0.0,0.195970922,0.011027265,0.047453936,0.152645246,0.002675344,0.026755644,0.052266963,0.01852094,0.014726754,0.0,0.0,0.0,0.063611548,0.168719467,0.024006833,0.034167804,0.0,0.001713466,0.226129821,0.00095073,0.061922622,0.0,0.079033443,0.035181963,0.042019746,0.00535467,0.080527803,0.00092696,0.04560555,0.035334569,0.009217311,0.005916834,0.011803454,0.012760461,0.006794917,0.004040301,7.80175e-05,4.84485e-06,0.071634048,0.000193041,1.287762257,0.019285654,4.55617e-05,0.042187391,0.066811644,0.033820103,0.03090431,0.015608079,0.010417734,0.000753902,0.000130453,0.003599488,7.03232e-05,0.327831651,1.023854028,0.675842839,0.000252496,0.0,0.142749658,0.006077473,0.063072071,0.081296777,0.000886661,0.042515106,0.059653591,0.00618628,0.010696039,0.011958783,0.007972522,0.011958783,0.002852854,0.018714702,0.004198761,0.001054344,0.0,0.0,0.023061669,0.001030222,0.027557851,0.006206388,0.010744068,0.00525451,0.004238566
M,0.023468283,0.068658699,0.00923804,0.068018696,0.066403611,0.003174198,0.021793324,0.148385827,0.030107309,0.007069785,0.003906165,5.63978e-06,0.008320848,0.046967885,0.0,2.517032531,0.039300762,0.000346786,0.035008883,0.025594471,0.012857291,0.017098454,0.008942379,0.135699856,0.002300122,0.012053796,0.002227529,5.51066e-05,0.707757908,0.527280373,0.617519141,0.002219501,0.0,0.099410342,0.005513632,0.024850205,0.094551855,0.001337672,0.013377822,0.026133481,0.00926047,0.008308649,0.0,0.0,0.0,0.083732341,0.135107509,0.033001759,0.064708484,0.245371881,0.205134219,0.17252185,0.000475365,0.035016054,0.052758441,0.039675949,0.017590981,0.036811987,0.003215319,0.047201364,0.000507491,0.027342542,0.043127339,0.00904017,0.008887004,0.015114939,0.009317411,0.004786809,0.002839832,5.41396e-05,0.003700725,0.05958693,9.65204e-05,1.78797587,0.015913972,9.99206e-05,0.026520473,0.033405822,0.01692689,0.021726194,0.011115648,0.014194628,0.000376951,0.001066138,0.003081659,3.51616e-05,0.799179964,0.568681933,0.683930949,0.000154866,0.0,0.071374829,0.003038736,0.031536035,0.05204496,0.000500226,0.023365538,0.029826796,0.00309314,0.006163173,0.006713663,0.004475776,0.006713663,0.012943137,0.015618361,0.00498599,0.002114163,0.134793465,0.116502731,0.051743023,0.000515111,0.020492271,0.038067549,0.005472299,0.002647388,0.003450238
SC,0.0,0.0,0.166153275,0.0,0.0,0.0,0.05645188,0.516522978,0.0,0.0,0.011854753,0.006725222,0.0,0.0,0.0,0.0,0.029562502,0.006316216,0.004008152,0.0,0.0,0.0,0.0,0.374811396,1.199669842,0.260851039,0.017845037,0.0,0.0,0.0,0.0,0.040962047,0.002489367,0.0,0.0,0.0,1.962170681,0.030121919,0.0,0.0,0.0,0.171880898,0.086376741,0.057584494,0.086376741,0.061777805,3.069660239,0.0,0.041696374,0.008708114,0.004885089,0.006696758,0.000525137,0.0,0.005944637,0.0,0.0,0.077878664,0.0,0.0,0.092048932,0.000344873,0.000214326,0.0,0.04630376,0.111558448,0.000163656,0.0,0.0,0.00025875,0.0,0.0,0.000894463,0.0,0.0,0.001496343,0.0,0.0,0.0,0.0,0.0,0.043905003,0.577540058,0.05075642,0.003294598,0.0,0.0,0.0,0.0,0.107854083,0.0,0.0,0.0,0.0,1.419553703,0.001736526,0.0,0.0,0.0,0.151982457,0.014808851,0.009872567,0.014808851,0.024859853,1.827056895,0.0,0.003783239,0.0,0.000235646,0.002250255,0.0,0.0,0.000208979,6.43334e-06,0.0,0.013950818
MS,0.0,0.0,0.004260033,0.0,0.0,0.0,0.004889029,0.0,0.000326065,0.008797946,0.004398973,0.012473735,0.000760269,0.000639192,0.031412379,0.006546995,0.0,0.651051876,0.031606387,0.470351431,0.455033759,0.000666515,0.000333258,0.0,0.001981097,0.000592228,0.012543717,0.030783168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001224042,0.0,0.092833077,0.007346916,0.0,0.0,0.0,0.032735356,0.022253127,0.032735356,0.0,0.0,0.0,0.0,0.0,1.24479e-06,0.0,0.010525201,0.002803153,0.0,0.002506483,0.002722415,0.0,0.005262291,0.034880904,0.131971977,0.0,6.97096e-07,0.000547098,0.010169393,0.0,6.49578e-05,0.007506211,0.004318359,0.035019034,0.003441478,0.001369831,0.065876294,0.031639234,0.003055773,0.802098082,0.021449855,0.5419086,0.50995987,0.007710672,0.00632883,0.0,0.003012157,0.000560631,0.131804333,0.045786634,0.003626836,0.003640845,0.003633841,0.0,0.0,0.0,0.001700509,0.004418758,0.002406689,0.086251258,0.004742117,0.014680613,0.0,0.011719131,0.033370332,0.023564764,0.033370332,0.001087714,0.0,0.078227204,0.001350799,7.39882e-06,7.88576e-06,1.05208e-05,0.027901198,0.002029468,0.0,0.001268721,0.000934074,0.012488602
DP,0.088041213,0.218644431,0.058823187,0.183404105,0.129333703,0.0,0.074531871,0.221795979,0.008527673,0.0,0.0,0.003216081,0.0,0.083195405,0.0,0.338078376,0.058273996,0.0,0.015326281,0.0363037,0.01815185,0.097685658,0.048842829,0.216404453,0.0,0.003445973,0.003236361,0.0,0.315953156,1.420788115,0.868370636,0.0,0.0,0.392450168,0.107367358,0.264604183,0.219544574,4.97932e-05,0.0,0.0,0.12406357,0.051828344,0.000116249,7.74994e-05,0.000116249,0.10057304,0.14410727,0.37298882,0.075361282,0.014022181,0.011352538,0.064330892,0.002579203,0.0,0.0,0.0,0.0,0.179074407,0.062650384,0.0,0.0028283,0.069328703,0.059237234,0.0,0.053669144,0.061789465,0.0,0.0,0.0,4.96356e-05,0.0,0.0,0.0,0.0,0.028973786,0.0,0.0,0.0,0.0,0.0,0.0,0.05710653,0.0,0.002820899,0.000980729,0.0,0.0,0.834262633,0.417131317,0.000101031,0.0,0.926977065,0.049813569,0.02409081,0.209969604,2.75517e-06,0.0,0.004666261,0.06088316,0.042977377,0.0,0.0,0.0,0.023460721,0.048754461,0.0,0.003311115,0.0,0.0,0.014131407,0.0,0.0,0.0,0.0,0.0,0.030723591
MO,0.383771674,1.356947199,0.0,0.245407389,0.228190256,0.077614412,0.000225937,0.0,0.001997763,0.075327489,0.046015773,0.003772819,0.000213477,0.052072217,0.0,1.398091591,0.0,0.0,0.053657518,0.131222795,0.065611397,0.045253545,0.025090052,0.0,0.0,0.0,0.032430463,0.0,0.0,0.400892175,0.200446087,0.0,0.012953461,0.127955011,0.0,0.048954446,0.0,0.000635562,0.037261734,0.110885288,0.400216298,0.0,0.042303874,0.053397404,0.042303874,0.0,0.0,0.031106475,0.0,0.0,0.0,0.0,0.004133734,0.0,0.002371733,0.013142638,0.0,0.0,0.173731946,0.453504594,0.0,0.150942594,0.137241198,0.044005092,9.5271e-05,0.0,0.0,0.023670419,0.0155883,7.77625e-05,0.002176927,0.0,0.0,0.577534243,0.0,0.0,0.019100249,0.0,0.0,0.0,0.000266625,0.0,0.0,3.63603e-05,0.010071285,0.0,0.0,0.130025529,0.065012764,0.0,0.0084927,0.069928068,0.428232888,0.0,0.0,6.06237e-05,0.005618576,0.034556515,0.538729054,0.005229163,0.0,0.0,0.0,0.0,0.0,0.03869476,0.0,0.0,0.0,0.0,0.0,0.005946142,0.004764987,0.0,0.0,0.0
VO,0.004957644,0.022082067,0.0,0.034084678,0.030134494,0.0,0.038336188,0.0,0.032176588,0.001209227,0.000604613,0.0,0.011736217,0.06856524,0.0,1.922717512,0.021513481,0.0,0.003844452,0.0,0.0,0.098729206,0.049364603,0.000422578,0.0,0.004562968,0.000549239,0.0,0.362257427,0.0,0.181128713,0.0,0.0,0.109550692,0.0,0.06198328,0.0,0.0,0.0,0.301304313,0.0,0.047623772,0.021192652,0.031050703,0.021192652,0.068223161,0.0,0.0,0.019955899,0.075774564,0.055205206,0.103723712,0.0,0.103696135,0.011472245,0.116906767,0.054920317,0.0,0.0,0.0,0.0,0.104725285,0.042098392,0.0,0.011836514,0.013536895,0.01027863,0.0,0.0,4.9765e-05,0.0,0.098972713,0.000196907,0.820282146,0.02347324,3.65398e-05,0.002717813,0.0,0.0,0.02176662,0.01088331,0.01521397,0.0,0.000647348,0.002222635,0.0,0.274369021,0.0,0.137184511,0.0,0.0,0.123708244,0.0,0.725385051,0.0,0.0,0.0,0.096770524,0.0,0.027370677,0.0,9.60404e-05,0.0,0.012648219,0.0,0.0,0.000305396,0.019818064,0.013314685,0.023812226,0.0,0.020008901,0.0,0.004063048,0.001434893,0.0
PAG,0.0,0.010806697,0.058523785,0.0,0.0,0.0,0.008112195,0.101989315,0.0,0.0,0.0,0.000460279,0.001554155,0.0,0.0,0.0,0.063159666,0.0,0.0,0.0,0.0,0.0,0.0,0.127340263,0.010954708,0.000603541,0.010968003,0.0,0.0,0.0,0.0,0.003976018,0.0,0.0,0.0,0.0,0.236588438,0.0,0.0,0.0,0.0,0.007955231,0.0,0.0,0.0,0.003613555,0.083016279,0.053167457,0.012165926,0.0,0.0,0.0,0.005800071,0.0,0.0,0.0,0.0,0.034845947,0.0,0.005086959,0.005855132,8.86787e-05,0.000120009,0.0,0.00688656,0.027806523,3.64974e-05,0.0,0.0,7.66415e-05,0.000379885,0.000141975,0.0,0.010214328,0.0,0.0,0.0,0.0,0.0,0.0,7.73124e-05,0.02701771,0.0,0.0,0.0,0.0,0.00011267,0.0,5.63352e-05,0.002513359,0.002900897,0.0,0.0,0.0,0.315384861,2.03514e-05,0.0,0.001285141,0.0,0.006630347,0.0,0.0,0.0,0.000339741,0.065464155,0.017875657,0.00318186,0.000544479,0.000364908,0.00013369,0.002211248,0.0,0.000391395,0.0,0.0,0.014670882
PS,0.0,0.0018455,0.018213622,0.000441995,0.001051904,0.0,0.006069407,0.058550311,0.011324955,0.00060891,0.000894288,0.0001944,0.001009965,0.008661022,2.78151e-05,0.02938286,0.0,0.073886613,0.465601525,0.308089408,0.364505761,0.0,7.86534e-05,0.057772911,0.261327649,0.006570896,0.002733828,0.006430548,0.0,0.0,0.0,0.00035148,0.001666645,0.0,0.0,0.0,0.058537469,0.099424625,0.005186386,0.000258648,0.0,0.003569365,0.120445524,0.084149239,0.120445524,0.019937946,0.061209913,0.00926273,0.007097203,0.000433424,0.000528693,0.002118575,0.005660646,0.052834637,0.0,0.008559749,0.019578888,0.009241281,0.000882946,0.000475878,0.001210517,4.71312e-05,0.000139325,0.000186312,0.002101516,0.013969321,7.11209e-05,0.0,0.0,1.47153e-05,4.86766e-05,0.0,0.0,0.0,0.006119843,0.027485048,0.368889996,0.23107892,0.262866945,0.0,8.99153e-07,0.014724125,0.000558924,0.002509395,0.00318968,0.002389718,0.0,0.0,0.0,1.78544e-07,0.006375629,0.0,4.5491e-05,0.0,0.005345695,0.0921336,0.001685533,0.000331694,1.39637e-05,0.002812573,0.008849397,0.005899598,0.008849397,0.000568645,0.000339893,0.000422628,0.001141925,0.000227411,8.30682e-05,0.00019001,0.002034429,0.038451968,0.000166948,0.0,0.002897791,0.002663865
PRh,0.124664954,2.38100621,0.090340362,0.33642412,0.318200771,0.374898075,0.010980763,0.102818015,0.193042422,0.611945007,0.417951897,0.080027909,0.231656254,0.26256772,0.0,5.177975749,0.009395714,0.129608521,0.638718862,1.730540176,0.865270088,0.625108556,0.393670331,0.12081493,0.0,0.015423865,0.088558942,0.0,0.694089948,0.632970907,0.663530427,0.00331187,0.0,0.244531192,0.175898237,0.269628023,0.359800727,0.044180378,0.440776634,1.957979018,0.237646783,0.020727138,0.020674189,0.013782793,0.020674189,0.011503608,0.154316073,0.533921083,0.006202982,0.279305403,0.106279162,0.148650742,0.002477697,0.389354629,0.21480922,0.005871134,0.016301572,0.014167016,0.082105327,0.908566998,0.004435715,0.098054548,0.089987813,0.102334898,0.004584674,0.003334856,0.161795209,0.146107692,0.124153673,0.005191572,0.074127988,0.113830557,0.0,3.400991062,0.000178525,0.007605475,0.288937745,0.027212868,0.013606434,0.149892402,0.095353432,0.00417218,0.0,0.000361736,0.047560817,0.00135323,0.400874271,0.419286721,0.410080496,0.001672523,0.000140167,0.04351863,0.055382158,0.077745407,0.195540073,0.002118977,0.219424507,0.326308557,0.094875406,0.019245544,0.021147024,0.016396212,0.021147024,0.001342512,0.03456767,0.173775139,0.000197545,0.361025579,0.16194299,0.282032576,0.001382864,0.289938748,0.126728048,0.115648054,0.071883137,0.000213934
Pir,0.0,0.0,0.000365632,0.077113035,0.08999129,0.27527034,0.000737392,0.0,0.0,0.132428664,0.066214332,0.182386622,0.050462293,0.0,0.211136511,0.0,0.0,0.0,0.0,1.156564927,0.583097094,0.501294907,0.340956944,0.0,0.0,0.0,0.022447426,0.0,0.0,0.0,0.0,0.0,0.003135458,0.058943431,0.0,0.043899274,0.0,0.0,0.195515919,4.396647913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126175267,0.0,0.0,0.0,0.0,0.000125179,0.0,0.01203523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72946e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003934938,0.001967469,0.0,0.000912258,0.0,4.90526e-06,0.0,0.002691789,0.0,0.0,0.0,0.0,0.0,0.000623447,0.0,0.0,0.0,0.0,0.0,0.0,0.03529014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrL,0.0,0.0,0.083255899,0.075806673,0.054003763,0.034429558,0.087031805,0.10067459,0.001132136,0.003407233,0.001703616,0.008900076,0.019326083,0.164275535,0.004234234,0.932253927,0.021088539,0.0,0.0,0.0,0.0,0.169483651,0.084741825,0.103067308,0.0,0.000875072,0.021665819,0.0,0.100842917,0.0,0.050421458,0.0,0.0,0.0,0.140540294,0.019340246,0.18853649,0.0,0.0,0.0,0.0,0.02967628,0.0,0.0,0.0,0.020794468,0.0,0.492837294,0.033130495,0.0,0.0,0.000365612,0.000901203,0.0,0.006943013,0.0,0.0,0.077757225,0.0,0.030440456,3.00837e-05,0.083930862,0.066499971,0.047367274,0.04632204,0.0,0.000879961,0.0,0.0,0.000615071,1.46936e-05,0.223746076,0.000203134,0.519781695,0.001262522,0.00176963,0.003995963,0.056768972,0.029052485,0.08917375,0.044586875,0.0,0.0,3.18568e-05,0.000364714,0.0,0.0,0.0,0.0,0.0,0.0,0.021345244,0.0,0.0,0.114256856,0.000629631,0.014674123,0.010380696,0.220261642,0.001763131,0.0,0.0,0.0,0.0,0.0,0.0,0.002025289,0.0,0.001532463,0.0,0.000462542,0.012977986,0.006867649,0.0,0.0,0.001980608
