,Xt_MPI 1,Xt_MPI 3,Xt_MPI 6
0,0.28531312069706766,0.3547577208325846,0.34873910956211
1,0.012262738834746689,0.05840908564127073,0.12809077849141817
2,0.013305245311050713,0.053029548590140196,0.10002193892146252
3,0.35218651838021664,0.39598419476556357,0.3717422757791923
4,0.25071273818308254,0.3125398680644441,0.3178822702366771
5,0.2786929868643076,0.36712365246680095,0.3597042215283905
6,0.22918491714160147,0.2727588980488453,0.28161833672324704
7,0.11415728874036718,0.218292905433303,0.25526994291107935
8,0.20667200573928565,0.3328341739450985,0.34125877874894833
9,0.3450334207645827,0.3590359316956187,0.34984714945787954
10,0.2877296038609174,0.33143904262142837,0.33553329062801507
11,0.07853730100123488,0.17765544538405362,0.23668823569132583
12,0.21097168539231065,0.26799914961801846,0.2800743465695427
13,0.18088502116588628,0.2854735115774174,0.3094515316040198
14,0.021096550113146734,0.11609349336740139,0.21161571838874613
15,0.9206929537752022,0.8163867491423569,0.6987723913654488
16,0.007633736168267378,0.039054887660828944,0.08518220587846968
17,0.005102876494058288,0.02884370674436728,0.06991923031424899
18,0.039478364362612234,0.15523047150365,0.2422351489672345
19,0.1315356147025682,0.22993024589035468,0.2719886417989933
20,0.0976745860328017,0.20918371925483792,0.2603071171781764
21,0.03761284740710641,0.15270514964022805,0.2378073063556039
22,0.06768631938529537,0.1809620896887095,0.24506831166933216
23,0.014526860877792593,0.041219760273285264,0.07639144088012645
24,0.1476368878705283,0.3079238297515127,0.3530159331323287
25,0.17569637481552428,0.27735718538599063,0.29470571356168046
26,0.006594884999506218,0.034879204570166016,0.08129545907471164
27,0.10236468341774965,0.16067194782928004,0.19551746722113092
28,0.3335595489603258,0.3827954726092996,0.3616620828589223
29,0.2820293861046614,0.34547096027429647,0.33486465590188674
30,0.3091769898360905,0.36522905684140283,0.3490455587289564
31,0.02868631564022212,0.08217234225422336,0.12158365941847503
32,0.020659096713710735,0.08390455397390657,0.13971528943813435
33,0.16390009207877726,0.2662555072005129,0.2777187913140624
34,0.21687512945475806,0.28869539863340754,0.29693234036020555
35,0.3019182550383963,0.39893175795300234,0.3854873395012116
36,0.004983020512434159,0.02829328178451265,0.0678889717900121
37,0.03334833219100509,0.13439264421935948,0.21265840119455304
38,0.2400833318636289,0.28633632088543015,0.2971201880293563
39,0.062182872012567954,0.1882025229372912,0.25833332351958005
40,0.17643277298739551,0.2714888284800581,0.2884862793725892
41,0.11099853071446979,0.2413581566583739,0.27418667744843156
42,0.14976179581033786,0.2845529490326142,0.30790498729050125
43,0.1247249711938858,0.2684058217879088,0.3016480962175845
44,0.149756935521295,0.28454026187014536,0.3078923941240624
45,0.27994903216131606,0.3961188391003826,0.38198106359099904
46,0.00474028898782172,0.027856221992079502,0.0666943123997927
47,0.022621052306450184,0.08544291827714379,0.15889901116633393
48,0.5185741430931291,0.5596883045088121,0.5003037604174561
49,0.30948833397662223,0.4405021362511237,0.42326321048461774
